epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.3364,1.06674,2.70196,1.5002,0.85748,0.11432,0.45222,0.28465,1.17311,3.58368,1.76763,0.000362927,0.000362927,0.000362927
2,35.135,1.02819,1.76662,1.43241,0.82822,0.47106,0.51203,0.33961,1.31214,2.87679,1.78156,0.000718741,0.000718741,0.000718741
3,48.8446,1.00278,1.57678,1.37801,0.62932,0.49856,0.4983,0.27198,1.57498,3.00253,2.17613,0.00105989,0.00105989,0.00105989
4,62.3136,1.00105,1.41304,1.38965,0.673,0.58235,0.62072,0.41783,1.31583,2.30568,1.73538,0.00104501,0.00104501,0.00104501
5,75.7217,0.96806,1.24669,1.34866,0.80711,0.61925,0.64833,0.42188,1.25224,2.03682,1.73205,0.00102301,0.00102301,0.00102301
6,89.9111,0.9381,1.12783,1.33284,0.77625,0.64401,0.63805,0.33792,1.51978,2.10707,2.0265,0.00100101,0.00100101,0.00100101
7,102.988,0.93826,1.10599,1.32453,0.77676,0.62066,0.6678,0.43142,1.22775,1.68102,1.74233,0.000979013,0.000979013,0.000979013
8,116.512,0.89226,0.99509,1.2967,0.80875,0.66456,0.70148,0.44855,1.24499,1.55525,1.66814,0.000957015,0.000957015,0.000957015
9,137.492,0.9143,0.95804,1.294,0.88347,0.52086,0.62417,0.3151,1.6031,1.74726,2.18742,0.000935018,0.000935018,0.000935018
10,151.378,0.82263,0.86813,1.24488,0.88412,0.64457,0.72568,0.45522,1.23989,1.36234,1.69067,0.00091302,0.00091302,0.00091302
11,165.372,0.86157,0.87541,1.26666,0.81296,0.73441,0.76729,0.46589,1.25637,1.26331,1.69745,0.000891022,0.000891022,0.000891022
12,178.974,0.81776,0.80903,1.23603,0.75641,0.72804,0.75197,0.35539,1.86209,1.56893,2.36653,0.000869024,0.000869024,0.000869024
13,192.66,0.81146,0.75575,1.23794,0.8981,0.68441,0.78731,0.45834,1.2699,1.26482,1.77625,0.000847026,0.000847026,0.000847026
